claim_id,policy_id,customer_id,customer_name,customer_email,customer_phone,customer_state,customer_segment,policy_type,coverage_amount,premium_amount,deductible,claim_date,reported_date,claim_type,claim_amount,status,priority,adjuster_id,location_state,processing_days,settlement_amount,is_fraud,fraud_score,incident_description,weather_conditions,police_report_filed,witnesses,payment_method,created_at
CLM-2024-345682,POL-34567894,CUST-300005,Brandon Robinson,brandon.robinson@email.com,(555) 678-9014,IL,Standard,Auto,100000,1650,1000,2024-04-02,2024-04-03,Theft,19500,Settled,Medium,ADJ-3005,IL,22,18700,FALSE,0.298,Vehicle break-in with theft of personal items,Foggy,TRUE,1,Digital Wallet,2024-08-07
CLM-2024-345683,POL-34567895,CUST-300006,Nicole Walker,nicole.walker@email.com,(555) 789-0125,PA,Basic,Home,50000,750,500,2024-04-08,2024-04-09,Natural Disaster,22000,Approved,High,ADJ-3006,PA,35,21500,FALSE,0.189,Hail damage to roof and siding,Windy,FALSE,3,ACH,2024-08-07
CLM-2024-345684,POL-34567896,CUST-300007,Gregory Hall,gregory.hall@email.com,(555) 890-1236,GA,Premium,Auto,250000,2400,1500,2024-04-15,2024-04-16,Liability,75000,Under Review,High,ADJ-3007,GA,,,FALSE,0.567,Accident involving injury to multiple parties,Clear,TRUE,8,Pending,2024-08-07
CLM-2024-345685,POL-34567897,CUST-300008,Samantha Allen,samantha.allen@email.com,(555) 901-2347,OH,Standard,Health,75000,950,750,2024-04-22,2024-04-24,Medical,12500,Settled,Low,ADJ-3008,OH,18,12000,FALSE,0.145,Outpatient surgery for sports injury,Clear,FALSE,1,Check,2024-08-07
CLM-2024-345686,POL-34567898,CUST-300009,Patrick Young,patrick.young@email.com,(555) 012-3458,MI,Basic,Auto,50000,1100,500,2024-05-01,2024-05-02,Collision,16500,Approved,Medium,ADJ-3009,MI,25,15800,FALSE,0.278,Parking lot collision with concrete barrier,Rainy,FALSE,0,Wire Transfer,2024-08-07
CLM-2024-345687,POL-34567899,CUST-300010,Kimberly King,kimberly.king@email.com,(555) 123-4569,AZ,Premium,Home,750000,4500,2500,2024-05-08,2024-05-09,Fire,85000,Settled,Critical,ADJ-3010,AZ,52,82500,FALSE,0.423,Pool equipment fire spreading to patio area,Clear,FALSE,2,Check,2024-08-07
CLM-2024-456789,POL-45678901,CUST-400001,Steven Wright,steven.wright@email.com,(555) 234-5671,CA,Standard,Auto,150000,1950,1000,2024-06-10,2024-06-12,Theft,24000,Under Review,High,ADJ-4001,CA,,,FALSE,0.534,Entire vehicle stolen from residential driveway,Clear,TRUE,1,Pending,2024-08-07
CLM-2024-456790,POL-45678902,CUST-400002,Angela Lopez,angela.lopez@email.com,(555) 345-6782,NY,Premium,Business,500000,7200,5000,2024-06-15,2024-06-16,Water Damage,95000,Approved,Critical,ADJ-4002,NY,45,92000,FALSE,0.445,Sprinkler system malfunction flooding office space,Rainy,FALSE,5,Wire Transfer,2024-08-07
CLM-2024-456791,POL-45678903,CUST-400003,Ryan Hill,ryan.hill@email.com,(555) 456-7893,TX,Basic,Health,25000,600,250,2024-06-20,2024-06-21,Medical,3800,Settled,Low,ADJ-4003,TX,14,3650,FALSE,0.167,Emergency room visit for allergic reaction,Clear,FALSE,0,Digital Wallet,2024-08-07
CLM-2024-456792,POL-45678904,CUST-400004,Heather Scott,heather.scott@email.com,(555) 567-8904,FL,Standard,Home,200000,1750,1000,2024-06-25,2024-06-26,Natural Disaster,38000,Open,High,ADJ-4004,FL,,,FALSE,0.345,Storm damage from tropical weather system,Windy,FALSE,4,Pending,2024-08-07
CLM-2024-456793,POL-45678905,CUST-400005,Jeremy Green,jeremy.green@email.com,(555) 678-9015,IL,Premium,Auto,500000,2900,2500,2024-07-02,2024-07-03,Collision,125000,Denied,Critical,ADJ-4005,IL,85,,TRUE,0.934,Suspicious single-vehicle accident with high claim amount,Foggy,FALSE,0,Denied,2024-08-07
CLM-2024-456794,POL-45678906,CUST-400006,Crystal Adams,crystal.adams@email.com,(555) 789-0126,PA,Basic,Travel,15000,320,150,2024-07-08,2024-07-10,Medical,2200,Settled,Low,ADJ-4006,PA,8,2100,FALSE,0.089,Minor injury during vacation requiring local treatment,Clear,FALSE,0,ACH,2024-08-07
CLM-2024-456795,POL-45678907,CUST-400007,Timothy Baker,timothy.baker@email.com,(555) 890-1237,GA,Standard,Auto,100000,1550,750,2024-07-15,2024-07-16,Liability,42000,Settled,Medium,ADJ-4007,GA,36,40500,FALSE,0.367,Accident causing property damage to business,Rainy,TRUE,3,Check,2024-08-07
CLM-2024-456796,POL-45678908,CUST-400008,Michelle Gonzalez,michelle.gonzalez@email.com,(555) 901-2348,OH,Premium,Life,750000,2800,0,2024-07-22,2024-07-23,Medical,275000,Under Review,Critical,ADJ-4008,OH,,,TRUE,0.867,Large life insurance claim following recent policy increase,Clear,FALSE,2,Pending,2024-08-07
CLM-2024-456797,POL-45678909,CUST-400009,Nathan Nelson,nathan.nelson@email.com,(555) 012-3459,MI,Standard,Home,150000,1400,1000,2024-07-28,2024-07-29,Fire,32000,Approved,High,ADJ-4009,MI,42,30500,FALSE,0.278,Garage fire from faulty electrical outlet,Clear,TRUE,1,Wire Transfer,2024-08-07
CLM-2024-456798,POL-45678910,CUST-400010,Tiffany Carter,tiffany.carter@email.com,(555) 123-4570,AZ,Basic,Auto,75000,1250,500,2024-08-01,2024-08-02,Collision,18500,Open,Medium,ADJ-4010,AZ,,,FALSE,0.234,Intersection collision during monsoon season,Rainy,TRUE,2,Pending,2024-08-07
